2025-02-20 14:36:18 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-20 14:36:19 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 17 with PID 18964 (C:\Users\deles\IdeaProjects\demo\build\classes\java\main started by deles in C:\Users\deles\IdeaProjects\demo)
2025-02-20 14:36:19 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-20 14:36:19 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-02-20 14:36:19 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-20 14:36:19 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-02-20 14:36:19 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-02-20 14:36:19 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-02-20 14:36:19 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 907 ms
2025-02-20 14:36:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-02-20 14:36:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-02-20 14:36:20 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 1.765 seconds (process running for 2.034)
2025-02-20 14:36:29 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-20 14:36:29 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-02-20 14:36:29 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-02-20 14:36:30 [http-nio-8080-exec-1] INFO  c.e.demo.controller.UserController - Get user id = 4
